No.67, R2: 0.857823, MSE: 0.118408, MAE: 0.280570, EV: 0.858081 {'colsample_bytree': 0.6484760290522962, 'gamma': 0.250907018788042, 'learning_rate': 0.27684128686854587, 'max_depth': 2.0, 'min_child_weight': 7.645196612505182, 'n_estimators': 216.0, 'subsample': 0.8012138939415161}
No.68, R2: 0.862550, MSE: 0.114471, MAE: 0.276756, EV: 0.862621 {'colsample_bytree': 0.6491653346958848, 'gamma': 0.24820735688185827, 'learning_rate': 0.2775779890519036, 'max_depth': 2.0, 'min_child_weight': 7.647669296260523, 'n_estimators': 228.0, 'subsample': 0.8002420727514205}
No.69, R2: 0.854207, MSE: 0.121420, MAE: 0.284828, EV: 0.854335 {'colsample_bytree': 0.6494191302587046, 'gamma': 0.24608453058972304, 'learning_rate': 0.2803536617273709, 'max_depth': 2.0, 'min_child_weight': 7.649420573228409, 'n_estimators': 228.0, 'subsample': 0.7983094507162465}
No.70, R2: 0.865275, MSE: 0.112202, MAE: 0.281763, EV: 0.865316 {'colsample_bytree': 0.6496278811657321, 'gamma': 0.2483449354928549, 'learning_rate': 0.2744673438385104, 'max_depth': 2.0, 'min_child_weight': 7.647443285357286, 'n_estimators': 214.0, 'subsample': 0.8004640298943814}
No.71, R2: 0.856092, MSE: 0.119850, MAE: 0.288960, EV: 0.856140 {'colsample_bytree': 0.6502540602064779, 'gamma': 0.2523129506648548, 'learning_rate': 0.27435488397452956, 'max_depth': 2.0, 'min_child_weight': 7.648392524201018, 'n_estimators': 219.0, 'subsample': 0.801922090519047}
No.72, R2: 0.858004, MSE: 0.118258, MAE: 0.288253, EV: 0.858019 {'colsample_bytree': 0.6497641638947789, 'gamma': 0.25452353627738417, 'learning_rate': 0.27582112794481684, 'max_depth': 2.0, 'min_child_weight': 7.644421311654216, 'n_estimators': 202.0, 'subsample': 0.8005394540929437}
No.73, R2: 0.841214, MSE: 0.132241, MAE: 0.295215, EV: 0.841934 {'colsample_bytree': 0.6475209111696013, 'gamma': 0.2504054320159826, 'learning_rate': 0.2728022266512299, 'max_depth': 2.0, 'min_child_weight': 7.6434460018934045, 'n_estimators': 208.0, 'subsample': 0.7963959014109008}
No.74, R2: 0.854281, MSE: 0.121359, MAE: 0.289968, EV: 0.854314 {'colsample_bytree': 0.6513471049455379, 'gamma': 0.24367079689650742, 'learning_rate': 0.27473528140024306, 'max_depth': 2.0, 'min_child_weight': 7.649896593455938, 'n_estimators': 214.0, 'subsample': 0.8035563387786306}
No.75, R2: 0.862657, MSE: 0.114383, MAE: 0.281329, EV: 0.862918 {'colsample_bytree': 0.6507746835690261, 'gamma': 0.24689863343318186, 'learning_rate': 0.2793337811992019, 'max_depth': 2.0, 'min_child_weight': 7.647301847121278, 'n_estimators': 210.0, 'subsample': 0.799096449577271}
No.76, R2: 0.856332, MSE: 0.119650, MAE: 0.285449, EV: 0.856599 {'colsample_bytree': 0.6487319752921595, 'gamma': 0.24636479195257743, 'learning_rate': 0.2719865226057352, 'max_depth': 2.0, 'min_child_weight': 7.641181148104872, 'n_estimators': 192.0, 'subsample': 0.7972128338070938}
No.77, R2: 0.850585, MSE: 0.124437, MAE: 0.296996, EV: 0.850599 {'colsample_bytree': 0.649520792956787, 'gamma': 0.2451592072276763, 'learning_rate': 0.27676084619610447, 'max_depth': 2.0, 'min_child_weight': 7.642574578482286, 'n_estimators': 197.0, 'subsample': 0.8043658013732308}
No.78, R2: 0.841072, MSE: 0.132359, MAE: 0.299417, EV: 0.841346 {'colsample_bytree': 0.6545895228110489, 'gamma': 0.2527242304248341, 'learning_rate': 0.2813750445186976, 'max_depth': 1.0, 'min_child_weight': 7.646590173927203, 'n_estimators': 217.0, 'subsample': 0.8012609395480782}
No.79, R2: 0.821393, MSE: 0.148748, MAE: 0.322446, EV: 0.822169 {'colsample_bytree': 0.6526709514999697, 'gamma': 0.2513610144596504, 'learning_rate': 0.2833531351224551, 'max_depth': 2.0, 'min_child_weight': 7.649062142244487, 'n_estimators': 221.0, 'subsample': 0.7982429272601551}
No.80, R2: 0.843915, MSE: 0.129992, MAE: 0.292759, EV: 0.843918 {'colsample_bytree': 0.6519512482381036, 'gamma': 0.24848704688364687, 'learning_rate': 0.2775935998594826, 'max_depth': 3.0, 'min_child_weight': 7.644532490452133, 'n_estimators': 205.0, 'subsample': 0.8032633948669644}
